epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2198.9,0.15467,2.3024,0.4306,0.98541,0.98885,0.99256,0.75176,0.14616,1.86548,0.42973,0.00044296,0.00044296,0.00044296
83,2225.82,0.15343,2.17913,0.43212,0.9795,0.98665,0.98865,0.74204,0.14777,1.86859,0.43052,0.000432689,0.000432689,0.000432689
84,2252.67,0.15339,2.20078,0.42833,0.98476,0.98991,0.99273,0.75084,0.14304,1.83065,0.42491,0.000422449,0.000422449,0.000422449
85,2279.47,0.15305,2.25633,0.42617,0.98174,0.98489,0.98862,0.74241,0.14666,1.86317,0.43071,0.000412246,0.000412246,0.000412246
86,2306.47,0.15181,2.22804,0.42169,0.98527,0.98838,0.9924,0.7509,0.14595,1.8923,0.42951,0.000402084,0.000402084,0.000402084
87,2333.58,0.15392,2.18798,0.42387,0.98337,0.98956,0.99258,0.73078,0.14796,1.90784,0.43176,0.000391966,0.000391966,0.000391966
88,2360.54,0.15169,2.22523,0.4281,0.985,0.98907,0.99214,0.74191,0.14547,1.85655,0.42758,0.000381899,0.000381899,0.000381899
89,2387.66,0.15076,2.18313,0.42655,0.98695,0.98886,0.99237,0.74988,0.14631,1.823,0.4288,0.000371885,0.000371885,0.000371885
90,2415.65,0.15307,2.17481,0.42562,0.9862,0.99082,0.99198,0.73926,0.14771,1.86736,0.42956,0.000361929,0.000361929,0.000361929
91,2443.73,0.15555,2.24749,0.42988,0.98754,0.992,0.99261,0.75094,0.14406,1.83809,0.42394,0.000352037,0.000352037,0.000352037
92,2471.66,0.15304,2.20359,0.43021,0.98495,0.9893,0.99243,0.74887,0.14374,1.84325,0.42345,0.000342211,0.000342211,0.000342211
93,2498.86,0.1529,2.16215,0.43253,0.98548,0.98846,0.99287,0.75285,0.1434,1.83544,0.42342,0.000332457,0.000332457,0.000332457
94,2527.07,0.15068,2.15051,0.42789,0.98647,0.98819,0.99246,0.74889,0.14357,1.87117,0.42312,0.000322778,0.000322778,0.000322778
95,2555.54,0.14873,2.07627,0.42017,0.98345,0.99288,0.99231,0.74186,0.14445,1.8197,0.42674,0.00031318,0.00031318,0.00031318
96,2583.29,0.15199,2.14896,0.42619,0.98201,0.9904,0.9928,0.75084,0.14383,1.80619,0.4255,0.000303665,0.000303665,0.000303665
97,2611.51,0.15133,2.17767,0.42853,0.98326,0.98992,0.99311,0.7513,0.14392,1.8123,0.42834,0.000294239,0.000294239,0.000294239
98,2639.69,0.14988,2.13968,0.42358,0.98632,0.98948,0.99161,0.75087,0.14321,1.83339,0.42517,0.000284906,0.000284906,0.000284906
99,2667.57,0.1485,2.10701,0.41724,0.98536,0.99099,0.99251,0.75767,0.14357,1.77682,0.42358,0.000275668,0.000275668,0.000275668
100,2695.05,0.15041,2.12033,0.42478,0.98662,0.98971,0.99246,0.752,0.14373,1.78286,0.42486,0.000266532,0.000266532,0.000266532
101,2722.38,0.14888,2.04942,0.4198,0.98335,0.98822,0.98905,0.74969,0.14766,1.81398,0.43341,0.0002575,0.0002575,0.0002575
102,2749.99,0.14605,2.0966,0.41651,0.98411,0.98846,0.98946,0.76475,0.1428,1.78478,0.42404,0.000248577,0.000248577,0.000248577
103,2777.98,0.15016,2.10811,0.42531,0.98668,0.99178,0.99265,0.75174,0.14548,1.80858,0.42874,0.000239766,0.000239766,0.000239766
104,2805.39,0.14907,2.05756,0.42823,0.98326,0.98316,0.99206,0.7551,0.14447,1.79815,0.42717,0.000231071,0.000231071,0.000231071
105,2833.28,0.1499,2.1226,0.42333,0.98319,0.98426,0.99176,0.76118,0.14164,1.75173,0.42275,0.000222497,0.000222497,0.000222497
106,2861.48,0.14935,2.10261,0.42312,0.98325,0.98479,0.98954,0.75848,0.14311,1.75039,0.42405,0.000214046,0.000214046,0.000214046
107,2888.91,0.14673,2.11739,0.42071,0.98278,0.98991,0.99003,0.76705,0.14394,1.75967,0.42479,0.000205723,0.000205723,0.000205723
108,2916.64,0.14671,2.0887,0.42096,0.98302,0.98955,0.98999,0.76037,0.14577,1.73068,0.42887,0.000197532,0.000197532,0.000197532
109,2944.21,0.14656,2.07017,0.41687,0.98708,0.99217,0.99271,0.76081,0.14332,1.73772,0.42425,0.000189475,0.000189475,0.000189475
110,2971.65,0.14784,2.09857,0.41586,0.98628,0.9879,0.99285,0.75371,0.14589,1.76893,0.42769,0.000181557,0.000181557,0.000181557
111,2998.95,0.14753,2.09518,0.42644,0.98225,0.98566,0.9901,0.76618,0.14275,1.74954,0.423,0.00017378,0.00017378,0.00017378
112,3026.2,0.14787,2.03393,0.4206,0.98307,0.98566,0.99026,0.76129,0.14435,1.76193,0.42583,0.000166149,0.000166149,0.000166149
113,3053.87,0.1489,2.11867,0.42253,0.98139,0.98981,0.99001,0.75524,0.14559,1.75338,0.42807,0.000158667,0.000158667,0.000158667
114,3081.29,0.14609,2.10555,0.42016,0.98378,0.98901,0.99009,0.76555,0.14474,1.75795,0.42527,0.000151336,0.000151336,0.000151336
115,3108.51,0.14706,2.04233,0.41857,0.98626,0.99091,0.99279,0.76048,0.14512,1.76659,0.42587,0.000144161,0.000144161,0.000144161
116,3135.72,0.1478,2.08505,0.42506,0.98687,0.99185,0.99299,0.75096,0.14561,1.75515,0.4279,0.000137143,0.000137143,0.000137143
